candle_end_time,open,high,low,close,amount,info
2022-09-22,32.262,32.512,32.172,32.432,385146.000,
2022-09-23,32.262,32.922,32.262,32.622,366437.000,
2022-09-26,32.282,32.782,32.102,32.212,525491.000,
2022-09-27,32.152,32.312,31.702,32.162,475414.000,
2022-09-28,32.052,32.262,31.682,31.932,487299.000,
2022-09-29,32.252,32.582,31.262,31.412,617859.000,
2022-09-30,31.522,32.212,31.382,31.912,539717.000,
2022-10-10,31.252,31.352,29.512,30.062,1277991.000,
2022-10-11,30.052,30.332,29.572,29.662,618664.000,
2022-10-12,29.512,29.562,28.312,29.212,1173700.000,
2022-10-13,28.732,28.822,27.962,28.152,1350381.000,
2022-10-14,28.562,29.482,28.362,29.342,1269197.000,
2022-10-17,28.962,29.442,28.802,29.282,646310.000,
2022-10-18,29.562,29.642,28.962,29.062,562814.000,
2022-10-19,28.982,29.332,28.472,28.522,528275.000,
2022-10-20,28.262,28.712,28.142,28.332,551154.000,
2022-10-21,28.412,28.532,27.762,27.842,728711.000,
2022-10-24,27.652,27.752,26.262,26.282,1451458.000,
2022-10-25,26.282,26.732,26.072,26.452,860282.000,
2022-10-26,26.242,26.582,26.022,26.192,754022.000,
2022-10-27,26.462,26.702,26.162,26.202,762866.000,
2022-10-28,25.862,26.262,25.252,25.442,949464.000,
2022-10-31,25.162,25.392,24.562,25.082,953033.000,
2022-11-01,25.362,26.512,25.272,26.452,1059019.000,
2022-11-02,26.422,26.962,26.112,26.682,728361.000,
2022-11-03,26.612,26.642,26.142,26.312,501722.000,
2022-11-04,26.312,27.512,26.252,27.342,926830.000,
2022-11-07,27.062,27.692,26.882,27.422,545380.000,
2022-11-08,27.462,27.642,27.202,27.412,439782.000,
2022-11-09,27.412,27.812,27.262,27.442,463060.000,
2022-11-10,27.262,27.562,27.032,27.452,400046.000,
2022-11-11,28.362,30.062,27.972,29.502,1688717.000,
2022-11-14,30.762,31.952,30.592,31.402,2049685.000,
2022-11-15,31.412,32.092,31.012,31.542,913305.000,
2022-11-16,31.522,31.742,31.122,31.642,614594.000,
2022-11-17,31.562,31.562,30.262,30.572,1037152.000,
2022-11-18,30.552,30.942,30.092,30.332,562732.000,
2022-11-21,29.862,30.232,29.312,30.132,479104.000,
2022-11-22,30.332,31.142,30.062,30.712,654167.000,
2022-11-23,30.592,31.212,30.412,30.482,577644.000,
2022-11-24,30.862,31.132,30.342,30.482,406301.000,
2022-11-25,30.472,31.482,30.442,31.282,830122.000,
2022-11-28,30.362,30.372,29.712,30.222,809377.000,
2022-11-29,31.052,33.172,31.012,33.122,1753187.000,
2022-11-30,32.592,33.702,32.462,33.222,873325.000,
2022-12-01,34.162,34.762,33.112,33.262,831397.000,
2022-12-02,33.262,33.262,32.422,32.652,598462.000,
2022-12-05,33.232,34.362,32.872,34.362,1050604.000,
2022-12-06,34.172,34.242,33.682,34.112,651104.000,
2022-12-07,34.062,34.212,33.562,33.582,564606.000,
2022-12-08,33.512,34.032,33.422,33.712,443552.000,
2022-12-09,34.062,35.192,33.892,35.012,958163.000,
2022-12-12,34.672,34.862,33.942,34.052,606262.000,
